Monitoring point coding,Monitoring point name,city,longitude,latitude,region,GADM
2209A,Agricultural park,Fuxin,121.6673,42.0705,Liaoning,CN.LN
2210A,Dongyuan,Fuxin,121.6717,42.0224,Liaoning,CN.LN
2211A,Yulong New City,Fuxin,121.6506,42.0498,Liaoning,CN.LN
2212A,Magnificent area,Liaoyang,123.2,41.1953,Liaoning,CN.LN
2213A,Xinhuayuan,Liaoyang,123.1683,41.2495,Liaoning,CN.LN
2214A,Binhe Road,Liaoyang,123.2354,41.2639,Liaoning,CN.LN
2215A,Tiexi Industrial Park,Liaoyang,123.149,41.2991,Liaoning,CN.LN
2216A,Huigong Street West,Tieling,123.8139,42.3022,Liaoning,CN.LN
2217A,water park,Tieling,123.8649,42.2923,Liaoning,CN.LN
2218A,East section of Yinzhou Road,Tieling,123.8486,42.2867,Liaoning,CN.LN
2219A,Jinshajiang Road North,Tieling,123.7153,42.2217,Liaoning,CN.LN
2220A,Xiliang,Chaoyang,120.4318,41.5881,Liaoning,CN.LN
2221A,Riverside Community,Chaoyang,120.4521,41.5646,Liaoning,CN.LN
2222A,Balibao,Chaoyang,120.4176,41.5648,Liaoning,CN.LN
2223A,Agricultural park,Chaoyang,120.3806,41.5969,Liaoning,CN.LN
2224A,Monitoring station (out of service 200414),Siping,124.3419,43.1747,Jilin,CN.JL
2225A,A mall,Siping,124.4002,43.1713,Jilin,CN.JL
2226A,Jingyuan,Siping,124.388,43.193,Jilin,CN.JL
2227A,Environmental Protection Agency,Liaoyuan,125.1358,42.8845,Jilin,CN.JL
2228A,Sewage treatment plant,Liaoyuan,125.1567,42.8953,Jilin,CN.JL
2229A,bright,Tonghua,125.9358,41.7173,Jilin,CN.JL
2230A,railway,Tonghua,125.9446,41.7325,Jilin,CN.JL
2231A,Xifeng,Baishan,126.4219,41.9171,Jilin,CN.JL
2232A,Environmental Protection Agency,Baishan,126.4077,41.9419,Jilin,CN.JL
2233A,Jiangnan,Matsubara,124.8006,45.1214,Jilin,CN.JL
2234A,Jiangbei,Matsubara,124.7965,45.1722,Jilin,CN.JL
2235A,Taobei District Environmental Protection Bureau,White city,122.7911,45.6077,Jilin,CN.JL
2236A,Municipal Environmental Protection Bureau,White city,122.8738,45.5725,Jilin,CN.JL
2237A,Women's and Children's Hospital,Yanbian,129.47,42.8883,Jilin,CN.JL
2238A,Yanbian Hospital,Yanbian,129.5055,42.9108,Jilin,CN.JL
2239A,Chaoyangchuan Town Hospital,Yanbian,129.3964,42.8881,Jilin,CN.JL
2240A,Environmental Protection Agency,Jixi,130.9762,45.3001,Heilongjiang,CN.HL
2241A,Water company,Jixi,130.9817,45.305,Heilongjiang,CN.HL
2242A,Liquor Factory,Jixi,131.0103,45.2948,Heilongjiang,CN.HL
2243A,first Middle school,Jixi,130.9429,45.3039,Heilongjiang,CN.HL
2244A,Harbin Beer Branch,Hegang,130.2537,47.3416,Heilongjiang,CN.HL
2245A,Star Electromechanical,Hegang,130.2684,47.3086,Heilongjiang,CN.HL
2246A,Dongshan Paperboard Factory,Hegang,130.3114,47.3388,Heilongjiang,CN.HL
2247A,Reservoir No. 5 (control point),Hegang,130.1097,47.3382,Heilongjiang,CN.HL
2248A,Shuanghe Village,Shuangyashan,131.1511,46.6937,Heilongjiang,CN.HL
2249A,Nanxiaoshi,Shuangyashan,131.1652,46.6191,Heilongjiang,CN.HL
2250A,Environmental Protection Agency,Shuangyashan,131.1524,46.6554,Heilongjiang,CN.HL
2251A,Nursery (control point),Shuangyashan,131.12,46.5656,Heilongjiang,CN.HL
2252A,Environmental Protection Agency,Yichun,128.5159,47.4311,Heilongjiang,CN.HL
2253A,Electric Power Garden,Yichun,128.9102,47.7412,Heilongjiang,CN.HL
2254A,Tangwang River National Park (reference point),Yichun,129.5029,48.471,Heilongjiang,CN.HL
2255A,Jiafang,Jiamusi,130.2751,46.8028,Heilongjiang,CN.HL
2256A,power plant,Jiamusi,130.3995,46.8307,Heilongjiang,CN.HL
2257A,Environmental Protection Agency,Jiamusi,130.3258,46.7975,Heilongjiang,CN.HL
2258A,Eleven,Jiamusi,130.3648,46.8032,Heilongjiang,CN.HL
2259A,Sifeng (control point),Jiamusi,130.3794,46.7588,Heilongjiang,CN.HL
2260A,Environmental Protection Agency (discontinued 200627),Qitaihe,131.0032,45.7677,Heilongjiang,CN.HL
2261A,New construction (out of service 200107),Qitaihe,130.8625,45.8194,Heilongjiang,CN.HL
2262A,New First High School (control point),Qitaihe,131.0518,45.8751,Heilongjiang,CN.HL
2263A,Transportation Bureau,Heihe,127.4833,50.2524,Heilongjiang,CN.HL
2264A,Environmental Protection Agency,Heihe,127.5144,50.2341,Heilongjiang,CN.HL
2265A,Daheihe Island (control point),Heihe,127.5291,50.2472,Heilongjiang,CN.HL
2266A,Renhe Dongjie,Suihua,126.9785,46.6365,Heilongjiang,CN.HL
2267A,Party and government office center,Suihua,126.964,46.6528,Heilongjiang,CN.HL
2268A,Environmental Protection Agency (out of service 191231),Daxinganling area,124.1186,50.4269,Nei Mongol,CN.NM
2269A,Technology Bureau,Daxinganling area,124.1069,50.4097,Nei Mongol,CN.NM
2270A,Workers' Nursing Home,Bengbu,117.396,32.939,Anhui,CN.AH
2271A,Department store,Bengbu,117.3605,32.9427,Anhui,CN.AH
2272A,Second water plant (out of service 200430),Bengbu,117.3086,32.935,Anhui,CN.AH
2273A,Bengbu College,Bengbu,117.4185,32.8911,Anhui,CN.AH
2274A,Huaishang District Government,Bengbu,117.3533,32.9673,Anhui,CN.AH
2275A,High-tech Zone,Bengbu,117.3145,32.8977,Anhui,CN.AH
2276A,Datong District Government (discontinued),Huainan,117.0417,32.6611,Anhui,CN.AH
2277A,Panji District Government,Huainan,116.8305,32.7727,Anhui,CN.AH
2278A,Normal university,Huainan,117.0067,32.6524,Anhui,CN.AH
2279A,Xiejiaji District Government,Huainan,116.8569,32.5951,Anhui,CN.AH
2280A,Bagongshan District Government,Huainan,116.8281,32.633,Anhui,CN.AH
2281A,Jiaogang Lake Scenic Area Management Office (reference point),Huainan,116.6325,32.6201,Anhui,CN.AH
2282A,Monitoring station,Huaibei,116.8004,33.975,Anhui,CN.AH
2283A,Lieshan District Government,Huaibei,116.8091,33.9007,Anhui,CN.AH
2284A,vocational school,Huaibei,116.7856,33.9477,Anhui,CN.AH
2285A,City Fourth Middle School,Tongling,117.8177,30.9412,Anhui,CN.AH
2286A,City Highway Bureau,Tongling,117.8059,30.9273,Anhui,CN.AH
2287A,Xinmin Wastewater Treatment Plant,Tongling,117.7807,30.9413,Anhui,CN.AH
2288A,City Ninth Middle School,Tongling,117.7439,30.8792,Anhui,CN.AH
2289A,New station area,Tongling,117.846,30.9413,Anhui,CN.AH
2290A,Municipal Vocational Education Base,Tongling,117.8483,30.97,Anhui,CN.AH
2291A,Academy of Environmental Sciences,Anqing,117.0809,30.5177,Anhui,CN.AH
2292A,Mashan Hotel,Anqing,117.0331,30.5119,Anhui,CN.AH
2293A,Luen Fu Garden (out of service 180816),Anqing,117.0486,30.5489,Anhui,CN.AH
2294A,Anqing University,Anqing,116.9896,30.6145,Anhui,CN.AH
2295A,89 Yan'an Road,Huangshan,118.2903,29.6963,Anhui,CN.AH
2296A,89 Huangshan East Road,Huangshan,118.327,29.7178,Anhui,CN.AH
2297A,Huangshan District Government Building 5,Huangshan,118.1371,30.2756,Anhui,CN.AH
2298A,Senior University,Luzhou,118.3093,32.3153,Anhui,CN.AH
2299A,Renda Hotel,Luzhou,118.3244,32.2786,Anhui,CN.AH
2300A,Monitoring station (20190308 out of service),Luzhou,118.3158,32.3061,Anhui,CN.AH
2301A,City Monitoring Station,Fuyang,115.8277,32.8929,Anhui,CN.AH
2302A,Municipal Party School,Fuyang,,,Anhui,CN.AH
2303A,Development Zone,Fuyang,115.8554,32.8605,Anhui,CN.AH
2304A,Monitoring building,Suzhou,116.9765,33.6481,Anhui,CN.AH
2305A,No. 1 Middle School (out of operation 200114),Suzhou,116.9677,33.6284,Anhui,CN.AH
2306A,train station,Suzhou,116.989,33.6306,Anhui,CN.AH
2307A,Monitoring building,Lu'an,116.5079,31.737,Anhui,CN.AH
2308A,Wanxi College,Lu'an,116.4738,31.7643,Anhui,CN.AH
2309A,Chaoyang Factory,Lu'an,116.4996,31.7905,Anhui,CN.AH
2310A,Development Zone,Lu'an,116.5567,31.7886,Anhui,CN.AH
2311A,Sewage treatment plant,Luzhou,115.8072,33.8399,Anhui,CN.AH
2312A,Three Kingdoms Range Rover Palace,Luzhou,115.7789,33.8518,Anhui,CN.AH
2313A,Environmental protection building (out of operation 160506),Chizhou,117.4808,30.6414,Anhui,CN.AH
2314A,Chizhou College,Chizhou,117.47,30.6618,Anhui,CN.AH
2315A,Pingtian Lake (control point),Chizhou,117.4974,30.6539,Anhui,CN.AH
2316A,Aofengzi Station,Xuancheng,118.7581,30.9454,Anhui,CN.AH
2317A,Jingtingshanzi Station,Xuancheng,118.7385,30.9743,Anhui,CN.AH
2318A,Development Zone Substation,Xuancheng,118.7173,30.9427,Anhui,CN.AH
2319A,"Canghou Road, Licheng District",Putian,119.0141,25.4325,Fujian,CN.FJ
2320A,Putian City Monitoring Station,Putian,119.0015,25.4553,Fujian,CN.FJ
2321A,The Sixth Middle School of Hanjiang District,Putian,119.1119,25.4561,Fujian,CN.FJ
2322A,Xiuyu District Government,Putian,119.1013,25.3215,Fujian,CN.FJ
2323A,Dongzhen Reservoir (control point),Putian,118.981,25.4792,Fujian,CN.FJ
2324A,Sangang,Sanming,117.6211,26.2625,Fujian,CN.FJ
2325A,Sanming Second Middle School,Sanming,117.635,26.2714,Fujian,CN.FJ
2326A,Sanyuan District Government,Sanming,117.6028,26.2378,Fujian,CN.FJ
2327A,Yangxi (control point),Sanming,117.7275,26.3108,Fujian,CN.FJ
2331A,Mangdang Mountain (control point),Nanping,118.0966,26.6761,Fujian,CN.FJ
2332A,Nanping City Monitoring Station,Nanping,118.1681,26.6369,Fujian,CN.FJ
2333A,"Nanping Aluminum Industry Co., Ltd.",Nanping,118.1825,26.6489,Fujian,CN.FJ
2334A,Nanping No. 7 Middle School,Nanping,118.1756,26.6272,Fujian,CN.FJ
2335A,Longyan Teachers College (comparison point),Longyan,117.0189,25.1181,Fujian,CN.FJ
2336A,Longyan City Monitoring Station,Longyan,117.0217,25.1033,Fujian,CN.FJ
2337A,Minxi Vocational and Technical College,Longyan,117.0258,25.0661,Fujian,CN.FJ
2338A,Longyan College,Longyan,117.0196,25.0306,Fujian,CN.FJ
2339A,Jinhan Reservoir (control point),Ningde,119.5001,26.6946,Fujian,CN.FJ
2340A,Jiaocheng Agricultural Machinery Bureau (20190319 closed),Ningde,119.5202,26.6607,Fujian,CN.FJ
2341A,Ningde City Monitoring Station,Ningde,119.5388,26.6612,Fujian,CN.FJ
2342A,Wanggang Middle School (control point),Jingdezhen,117.3102,29.3867,Jiangxi,CN.JX
2343A,Veterans Activity Center,Jingdezhen,117.2117,29.2933,Jiangxi,CN.JX
2344A,Veterinary station,Jingdezhen,117.1894,29.2789,Jiangxi,CN.JX
2345A,Delta Ceramics,Jingdezhen,117.1547,29.2617,Jiangxi,CN.JX
2346A,Ceramic Research Institute,Jingdezhen,117.2461,29.2956,Jiangxi,CN.JX
2347A,Wugong Mountain (reference point),Pingxiang,114.0997,27.5002,Jiangxi,CN.JX
2348A,Chinese Medicine Hospital,Pingxiang,113.8385,27.6434,Jiangxi,CN.JX
2349A,Municipal garage,Pingxiang,113.8493,27.6253,Jiangxi,CN.JX
2350A,Municipal Environmental Protection Bureau,Pingxiang,113.8676,27.6435,Jiangxi,CN.JX
2351A,Anyuan District Government,Pingxiang,113.866,27.6198,Jiangxi,CN.JX
2352A,Beigang (control point),Xinyu,115.0861,27.9317,Jiangxi,CN.JX
2353A,Feiyu,Xinyu,114.9886,27.8431,Jiangxi,CN.JX
2354A,Second water plant,Xinyu,114.9231,27.8246,Jiangxi,CN.JX
2355A,City Meteorological Bureau,Xinyu,114.9308,27.8036,Jiangxi,CN.JX
2356A,Xingang Oxygen Plant,Xinyu,114.9119,27.8042,Jiangxi,CN.JX
2357A,Dragon Tiger Mountain (control point),Yingtan,116.9822,28.1136,Jiangxi,CN.JX
2358A,New monitoring station,Yingtan,117.0564,28.2642,Jiangxi,CN.JX
2359A,Caiyuan Hotel,Yingtan,117.0311,28.2475,Jiangxi,CN.JX
2360A,stadium,Yingtan,117.0222,28.2264,Jiangxi,CN.JX
2361A,Sanchuan Water Meter,Yingtan,117.0017,28.2131,Jiangxi,CN.JX
2362A,Tongtianyan (control point),Ganzhou,114.9017,25.9149,Jiangxi,CN.JX
2363A,Prefectural committee,Ganzhou,114.9367,25.8664,Jiangxi,CN.JX
2364A,Weather station,Ganzhou,114.9461,25.8481,Jiangxi,CN.JX
2365A,City Library,Ganzhou,114.9322,25.8333,Jiangxi,CN.JX
2366A,Huajian Shoe City,Ganzhou,114.8905,25.8471,Jiangxi,CN.JX
2367A,Hongsheng Equipment Factory,Gian,114.9754,27.0803,Jiangxi,CN.JX
2368A,City Forest Industry Bureau,Gian,114.9658,27.0999,Jiangxi,CN.JX
2369A,Municipal Environmental Monitoring Station,Gian,114.99,27.1312,Jiangxi,CN.JX
2370A,Qingyuan District Court,Gian,115.0093,27.0968,Jiangxi,CN.JX
2371A,Areca Water (comparison point),Yichun,114.3408,27.8064,Jiangxi,CN.JX
2372A,Bank of China,Yichun,114.3806,27.8014,Jiangxi,CN.JX
2373A,City Oil Company,Yichun,114.3956,27.7844,Jiangxi,CN.JX
2374A,City Meteorological Bureau,Yichun,114.3703,27.7914,Jiangxi,CN.JX
2375A,"Municipal Radio, Film and Television Bureau",Yichun,114.4013,27.8074,Jiangxi,CN.JX
2376A,Tongyuan Dangxi (control point),Fuzhou,116.2127,28.0814,Jiangxi,CN.JX
2377A,City Station,Fuzhou,116.3544,27.9831,Jiangxi,CN.JX
2378A,Schistosomiasis Station,Fuzhou,116.3565,27.963,Jiangxi,CN.JX
2379A,Tea Picking Troupe,Fuzhou,116.3564,28.0007,Jiangxi,CN.JX
2380A,Medical Branch,Fuzhou,116.385,27.9647,Jiangxi,CN.JX
2381A,Baicao Garden (control point),Shangrao,118.005,28.4572,Jiangxi,CN.JX
2382A,City Monitoring Station,Shangrao,117.9756,28.4436,Jiangxi,CN.JX
2383A,Phoenix Optics,Shangrao,117.9519,28.4628,Jiangxi,CN.JX
2384A,Development Zone Management Committee (out of operation 200112),Shangrao,117.9033,28.4303,Jiangxi,CN.JX
2385A,City Monitoring Station,Hebi,114.17,35.9019,Henan,CN.HE
2386A,City Traffic Police Detachment,Hebi,114.2956,35.7511,Henan,CN.HE
2387A,Guest House,Hebi,114.2878,35.7306,Henan,CN.HE
2388A,University of Science and Technology,Xinxiang,113.926,35.279,Henan,CN.HE
2389A,Environmental Protection West Campus,Xinxiang,113.836,35.31,Henan,CN.HE
2390A,Development Zone,Xinxiang,113.884,35.272,Henan,CN.HE
2391A,Environmental Protection East Campus,Xinxiang,113.883,35.303,Henan,CN.HE
2392A,Environmental Protection Agency,Liyang,115.0312,35.7636,Henan,CN.HE
2393A,Yun Tianwei,Liyang,114.9906,35.767,Henan,CN.HE
2394A,Oilfield transportation company,Liyang,115.0574,35.7609,Henan,CN.HE
2395A,Oilfield Geophysical Company,Liyang,115.0866,35.7754,Henan,CN.HE
2396A,Monitoring station,Xu Chang,113.8276,34.0159,Henan,CN.HE
2397A,Environmental Protection Agency,Xu Chang,113.8208,34.0314,Henan,CN.HE
2398A,Development Zone,Xu Chang,113.7906,33.9953,Henan,CN.HE
2399A,3515 Factory,Luohe,114.051,33.5699,Henan,CN.HE
2400A,Luohe University,Luohe,114.0055,33.5698,Henan,CN.HE
2401A,Municipal Water Resources Bureau,Luohe,114.0138,33.5828,Henan,CN.HE
2402A,"Municipal Radio, Film and Television Bureau",Luohe,114.0261,33.5698,Henan,CN.HE
2403A,Environmental Protection Agency,Nanyang,112.5192,32.9917,Henan,CN.HE
2404A,Wafangzhuang,Nanyang,112.5339,33.0086,Henan,CN.HE
2405A,Han Painting Gallery,Nanyang,112.5003,32.9735,Henan,CN.HE
2406A,Weather station,Nanyang,112.5779,33.0144,Henan,CN.HE
2407A,Polytechnic,Nanyang,112.548,32.9692,Henan,CN.HE
2408A,Environmental Monitoring Station,Shangqiu,115.6702,34.4285,Henan,CN.HE
2409A,Food Bureau,Shangqiu,115.6458,34.4045,Henan,CN.HE
2410A,Suiyang District Environmental Protection Bureau,Shangqiu,115.6293,34.3948,Henan,CN.HE
2411A,Third People's Hospital (closed on 20190220),Shangqiu,115.6578,34.402,Henan,CN.HE
2420A,No. 1 Paper Factory,Zhumadian,114.0189,32.9656,Henan,CN.HE
2421A,Color Printing Factory,Zhumadian,114.0114,33.015,Henan,CN.HE
2422A,Tianfang Second Branch,Zhumadian,113.9976,32.9771,Henan,CN.HE
2423A,Shenjiaying,Yellowstone,115.0601,30.2313,Hubei,CN.HU
2424A,Chenjiawan,Yellowstone,115.0817,30.2006,Hubei,CN.HU
2425A,Xinxialu,Yellowstone,114.9551,30.1765,Hubei,CN.HU
2426A,Iron Mountain,Yellowstone,114.8988,30.2019,Hubei,CN.HU
2427A,Tuancheng Mountain,Yellowstone,115.0307,30.2092,Hubei,CN.HU
2428A,Wudang Mountain (control point),Shiyan,111.0419,32.395,Hubei,CN.HU
2429A,Binhe New Village,Shiyan,110.78,32.6494,Hubei,CN.HU
2430A,Liujiagou,Shiyan,110.7258,32.6389,Hubei,CN.HU
2431A,Iron two,Shiyan,110.8839,32.5714,Hubei,CN.HU
2432A,Xiangcheng Sports Road,Xiangyang,112.155,32.0197,Hubei,CN.HU
2433A,Fancheng Xinhua Road,Xiangyang,112.1392,32.0564,Hubei,CN.HU
2434A,High-tech Management Committee,Xiangyang,112.1825,32.1142,Hubei,CN.HU
2435A,Xiangzhou Hangkong Road,Xiangyang,112.2106,32.0903,Hubei,CN.HU
2436A,City Hall,Ezhou,114.8938,30.3994,Hubei,CN.HU
2437A,Zhaojiaba,Ezhou,114.8989,30.3714,Hubei,CN.HU
2438A,Fankou Development Zone,Ezhou,114.8131,30.4133,Hubei,CN.HU
2439A,Zhuyuan Primary School,Jingmen,112.2014,31.0481,Hubei,CN.HU
2440A,Cut a knife,Jingmen,112.1969,30.9891,Hubei,CN.HU
2441A,Petrochemical One Elementary School,Jingmen,112.2213,31.0386,Hubei,CN.HU
2442A,City Hall,Jingmen,112.1931,31.0375,Hubei,CN.HU
2443A,Cultural Road,Xiaogan,113.9153,30.9285,Hubei,CN.HU
2444A,Dongcheng Area,Xiaogan,113.942,30.9075,Hubei,CN.HU
2445A,Dazhou Island,Huanggang,114.8857,30.4522,Hubei,CN.HU
2446A,Staff center,Huanggang,114.9028,30.4742,Hubei,CN.HU
2447A,Forest Park (control point),Xianning,114.3175,29.8142,Hubei,CN.HU
2448A,Municipal Development and Reform Commission,Xianning,114.3107,29.8454,Hubei,CN.HU
2449A,Xian'an District Government,Xianning,114.2936,29.8566,Hubei,CN.HU
2450A,Yangtze River Industrial Park,Xianning,114.3375,29.8683,Hubei,CN.HU
2451A,Municipal Party School,Suizhou,113.3583,31.7275,Hubei,CN.HU
2452A,City Forestry Bureau,Suizhou,113.3833,31.6908,Hubei,CN.HU
2453A,Municipal Overpass Water Plant,Suizhou,113.3983,31.7308,Hubei,CN.HU
2454A,Hubei Minyuan,Enshishi,109.4978,30.2981,Hubei,CN.HU
2455A,State Power Corporation,Enshishi,109.4707,30.2798,Hubei,CN.HU
2456A,Former 169 hospital (control point),Hengyang,112.5003,26.9167,Hunan,CN.HN
2457A,Hengyang Chemical Plant,Hengyang,112.6194,26.9258,Hunan,CN.HN
2458A,Zhuhui District Environmental Protection Bureau,Hengyang,112.6211,26.8956,Hunan,CN.HN
2459A,Municipal Party School,Hengyang,112.6197,26.8733,Hunan,CN.HN
2460A,City Monitoring Station,Hengyang,112.6006,26.8919,Hunan,CN.HN
2461A,Vacuum Electromechanical Company,Hengyang,112.5664,26.9056,Hunan,CN.HN
2462A,Municipal Water and Soil Institute (reference point),Shao Yang,111.5239,27.3033,Hunan,CN.HN
2463A,City One Middle School,Shao Yang,111.4733,27.2317,Hunan,CN.HN
2464A,City Chemical Plant,Shao Yang,111.5283,27.2442,Hunan,CN.HN
2465A,Cannery,Shao Yang,111.4503,27.2537,Hunan,CN.HN
2466A,Municipal Environmental Protection Bureau,Shao Yang,111.4328,27.2272,Hunan,CN.HN
2467A,Ganxi Port (control point),Yiyang,112.4067,28.6428,Hunan,CN.HN
2468A,Municipal Environmental Protection Bureau,Yiyang,112.3458,28.5808,Hunan,CN.HN
2469A,City Special Education School,Yiyang,112.3437,28.5531,Hunan,CN.HN
2470A,Ziyang District Government Affairs Center,Yiyang,112.3347,28.6047,Hunan,CN.HN
2471A,Heshan Environmental Protection Bureau,Yiyang,112.3744,28.5819,Hunan,CN.HN
2472A,Ma Touling (control point),Luzhou,113.0073,25.9061,Hunan,CN.HN
2473A,City Vocational School,Luzhou,113.0116,25.8226,Hunan,CN.HN
2474A,Xinglong Pedestrian Street,Luzhou,113.0161,25.8001,Hunan,CN.HN
2475A,Municipal Audit Bureau,Luzhou,113.0383,25.8071,Hunan,CN.HN
2476A,Municipal Environmental Protection Bureau,Luzhou,113.0348,25.7759,Hunan,CN.HN
2477A,Lingling Nanjindu (comparison point),Yongzhou,111.6217,26.2081,Hunan,CN.HN
2478A,Municipal Environmental Monitoring Station,Yongzhou,111.6156,26.4214,Hunan,CN.HN
2479A,Lingling District Environmental Protection Bureau,Yongzhou,111.6236,26.2331,Hunan,CN.HN
2480A,Yongzhou Environmental Protection Bureau,Yongzhou,111.5992,26.4364,Hunan,CN.HN
2481A,Environmental Protection Bureau of Lengshuitan District,Yongzhou,111.5989,26.4519,Hunan,CN.HN
2482A,Forestry Institute (control point),Huaihua,109.5981,27.5721,Hunan,CN.HN
2483A,Hexi Local Taxation Bureau,Huaihua,109.9453,27.5444,Hunan,CN.HN
2484A,City Fourth Hospital,Huaihua,109.9781,27.5342,Hunan,CN.HN
2485A,Monitoring building,Huaihua,109.9972,27.5578,Hunan,CN.HN
2486A,Municipal Party School,Huaihua,110.0394,27.583,Hunan,CN.HN
2487A,TV transmitter (reference point),Loudi,111.9589,27.8901,Hunan,CN.HN
2488A,City Monitoring Station,Loudi,111.9975,27.725,Hunan,CN.HN
2489A,Municipal Party School,Loudi,112.0194,27.7314,Hunan,CN.HN
2490A,LY Steel,Loudi,111.9561,27.7569,Hunan,CN.HN
2491A,City Hall,Loudi,111.9892,27.7044,Hunan,CN.HN
2492A,Yuejin Reservoir (reference point),Xiangxi,109.6414,28.2558,Hunan,CN.HN
2493A,State Government,Xiangxi,109.7325,28.3169,Hunan,CN.HN
2494A,Jishou City Family Planning Bureau,Xiangxi,109.6958,28.2675,Hunan,CN.HN
2495A,Yifu Primary School,Wuzhou,111.3014,23.4832,Guangxi,CN.GX
2496A,City Eleven Middle School,Wuzhou,111.3239,23.4794,Guangxi,CN.GX
2497A,Longxu,Wuzhou,111.247,23.4189,Guangxi,CN.GX
2498A,Long Xin,Wuzhou,111.2711,23.4835,Guangxi,CN.GX
2499A,Chawan,Fangchenggang,108.3411,21.6158,Guangxi,CN.GX
2500A,Fangcheng Archives,Fangchenggang,108.3514,21.7731,Guangxi,CN.GX
2501A,Sea garden,Fangchenggang,108.3506,21.6414,Guangxi,CN.GX
2502A,City Environmental Protection Station,Qinzhou,108.6236,21.9667,Guangxi,CN.GX
2503A,Shabu Primary School,Qinzhou,108.6549,21.9481,Guangxi,CN.GX
2504A,Minato No.1 Elementary School,Qinzhou,108.5989,21.7431,Guangxi,CN.GX
2505A,Dezhi High School (control point),Guigang,109.568,23.1478,Guangxi,CN.GX
2506A,Jiangnanzizhan,Guigang,109.6047,23.0666,Guangxi,CN.GX
2507A,Guichengzi Station,Guigang,109.6014,23.0948,Guangxi,CN.GX
2508A,Hechengzi Station,Guigang,109.5669,23.1065,Guangxi,CN.GX
2509A,Hanshan Reservoir (reference point),Yulin,110.1106,22.7019,Guangxi,CN.GX
2510A,City Monitoring Station,Yulin,110.1675,22.6411,Guangxi,CN.GX
2511A,Nanjiang No.1 Middle School,Yulin,110.1433,22.6164,Guangxi,CN.GX
2512A,City Monitoring Station,Baise,106.6103,23.9011,Guangxi,CN.GX
2513A,Downtown blood station,Baise,106.6538,23.8859,Guangxi,CN.GX
2514A,Environmental protection community,Hezhou,111.5264,24.4172,Guangxi,CN.GX
2515A,CPPCC Building,Hezhou,111.5608,24.4078,Guangxi,CN.GX
2516A,Dongren Paradise (comparison point),Hechi,108.2011,24.715,Guangxi,CN.GX
2517A,City Environmental Protection Station,Hechi,108.0497,24.6947,Guangxi,CN.GX
2518A,City Center for Disease Control,Hechi,108.0983,24.6989,Guangxi,CN.GX
2519A,Laibin No. 2 Middle School,guest,109.2328,23.7361,Guangxi,CN.GX
2520A,Laibin Technical School,guest,109.2203,23.7256,Guangxi,CN.GX
2521A,Jiangzhou Branch of Municipal Environmental Protection Bureau,Chongzuo,107.3476,22.4136,Guangxi,CN.GX
2522A,Chengnan New District,Chongzuo,107.3702,22.3707,Guangxi,CN.GX
2523A,Black Rock Slope (control point),Guangyuan,105.8945,32.4535,Sichuan,CN.SC
2524A,Old town,Guangyuan,105.821,32.4444,Sichuan,CN.SC
2525A,Nanba,Guangyuan,105.8153,32.4246,Sichuan,CN.SC
2526A,Monitoring station,Guangyuan,105.8628,32.4287,Sichuan,CN.SC
2527A,Shixihao (comparison point),Suining,105.5453,30.5678,Sichuan,CN.SC
2528A,City Monitoring Station,Suining,105.5582,30.5232,Sichuan,CN.SC
2529A,government centre,Suining,105.5861,30.5366,Sichuan,CN.SC
2530A,Mei Ning Food Company,Suining,105.5918,30.4728,Sichuan,CN.SC
2531A,City Monitoring Station,Neijiang,105.0703,29.61,Sichuan,CN.SC
2532A,Dongxing District Government,Neijiang,105.0717,29.5947,Sichuan,CN.SC
2533A,Neijiang No. 2 Middle School,Neijiang,105.0653,29.5817,Sichuan,CN.SC
2534A,Neijiang Daily,Neijiang,105.0406,29.5822,Sichuan,CN.SC
2535A,Huahu Bay (control point),Leshan,103.7723,29.5462,Sichuan,CN.SC
2536A,Niu'er Bridge,Leshan,103.7627,29.5844,Sichuan,CN.SC
2537A,City Third Water Plant,Leshan,103.7508,29.6006,Sichuan,CN.SC
2538A,City Monitoring Station,Leshan,103.7571,29.5664,Sichuan,CN.SC
2539A,Heilongtan Reservoir (comparison point),Meishan,104.0308,30.0478,Sichuan,CN.SC
2540A,Bureau of Meteorology,Meishan,103.8416,30.0874,Sichuan,CN.SC
2541A,Xuguang Community,Meishan,103.8495,30.0691,Sichuan,CN.SC
2542A,City Monitoring Station,Meishan,103.8341,30.062,Sichuan,CN.SC
2543A,Xiaoping Former Residence (comparison point),Guang'an,106.6308,30.5278,Sichuan,CN.SC
2544A,Municipal Party Committee,Guang'an,106.6303,30.4576,Sichuan,CN.SC
2545A,Friendship Middle School,Guang'an,106.6271,30.4663,Sichuan,CN.SC
2546A,Artificial lake,Guang'an,106.6406,30.4844,Sichuan,CN.SC
2547A,Broadcasting Garden,Guang'an,106.6388,30.4551,Sichuan,CN.SC
2548A,Dazhou Vocational and Technical College (reference point),Dazhou,107.5277,31.2827,Sichuan,CN.SC
2549A,Municipal Environmental Monitoring Station,Dazhou,107.5086,31.2186,Sichuan,CN.SC
2550A,Phoenix Community,Dazhou,107.4988,31.2132,Sichuan,CN.SC
2551A,Daxian Agency Hotel,Dazhou,107.5082,31.1986,Sichuan,CN.SC
2552A,Civic Center,Dazhou,107.4644,31.2124,Sichuan,CN.SC
2553A,Daxing 526 (comparison point),Yaan,103.009,30.0125,Sichuan,CN.SC
